怪物id,怪物类型,怪物名称,怪物等级,怪物血条数量,怪物头像,怪物模型,属性,绝对生命值（每次受到伤害只扣除1点生命值）,属性,属性,属性,血条位置,模型百分比,能否被击退,AI类型,心跳
uint,byte,str,uint,uint,uint,ushort,long,,uint,uint,uint,uint,short,,,
id,type,name,level,hpshow,head,model,hp,fixHurt,att,phyDef,magicDef,bloodY,scale,canRepel,aitype,heart
40001,5,尸王·20级,33,1,364,4625,16800,0,1,250,250,220,110,,,
40002,5,沃玛教主·30级,46,1,353,4687,39868,0,1,400,400,220,95,,,
40003,5,触龙神·40级,58,1,340,4603,70651,0,1,600,600,240,95,,,
40004,5,白猪王·50级,69,1,338,4601,188000,0,1,600,600,240,100,,,
40005,5,祖玛教主·60级,79,1,370,4699,594000,0,2,0,0,240,110,,,
40006,5,赤月恶魔·70级,85,2,339,4602,1820000,0,15333,0,0,210,100,,,
40007,5,黄泉教主·80级,90,2,358,4656,3277600,0,25840,0,0,225,100,,3,
40008,5,牛魔王·1转,95,2,362,4683,5649600,0,32306,0,0,240,125,,,
40009,5,虹魔教主·2转,105,2,342,4653,8660800,0,61386,0,0,260,110,,,
40010,5,蛇妖王·3转,105,3,352,4615,11798400,0,102666,0,0,260,130,,,
40011,5,魔龙教主·4转,105,3,361,4622,14720000,0,143946,0,0,260,105,,,
40012,5,火尾黑狐王·5转,105,3,344,4607,21699200,0,185226,0,0,240,130,,,
40013,5,金爪赤狐王·6转,105,4,345,4608,27678400,0,246350,0,0,240,130,,3,
40014,5,玉面素狐王·7转,105,4,367,4628,34600000,0,327645,0,0,230,130,,3,
40015,5,雷炎蜘蛛·8转,105,4,347,4610,45579200,0,435767,0,0,225,100,,3,
40016,5,炼狱巨魔·9转,105,5,348,4611,57600000,0,579570,0,0,250,120,,,
40017,5,雪域魔王·10转,105,5,355,4691,70579200,0,770828,0,0,245,120,,,
40018,5,禁地魔王·11转,105,5,346,4609,84500800,0,1025201,0,0,240,95,,3,
40019,5,火龙王·12转,105,5,343,4606,109480000,0,1363517,0,0,300,80,,,
40020,5,金龙·月卡,105,1,343,4657,284000,0,10266,0,0,300,100,,,
40021,5,铁血·至尊卡,105,1,365,4626,480000,0,12333,0,0,300,100,,,
120001,4,沃玛教主·28级,30,1,353,4687,100000,0,30,0,0,220,110,,,
120002,4,沃玛教主·40级,40,1,353,4687,700000,0,30,0,0,220,95,,,
120003,4,触龙神·50级,50,1,340,4603,1500000,0,30,0,0,240,95,,,
230002,4,沃玛教主·28级,30,1,353,4687,203618,0,480,0,0,220,95,,2,100
230003,4,触龙神·40级,40,1,340,4603,361987,0,1600,0,0,240,95,,6,100
230004,4,白猪王·50级,50,1,338,4601,776642,0,3350,0,0,240,100,,2,100
230005,4,祖玛教主·60级,60,1,370,4699,1380634,0,5133,0,0,240,110,,2,100
230006,4,赤月恶魔·70级,70,2,339,4602,2194153,0,6166,0,0,210,100,,6,100
230007,4,黄泉教主·80级,80,2,358,4656,4780323,0,10420,0,0,225,100,,3,100
230008,4,牛魔王·1转,85,2,362,4683,9584179,0,22009,0,0,240,125,,2,100
230009,4,虹魔教主·2转,95,2,342,4653,18283929,0,28390,0,0,260,110,,2,100
230010,4,蛇妖王·3转,110,5,352,4615,32243137,0,34770,0,0,260,130,,2,100
230011,4,魔龙教主·4转,120,5,361,4622,40500906,0,41151,0,0,260,105,,2,100
230012,4,火尾黑狐王·5转,130,5,344,4607,59941969,0,47530,0,0,240,130,,2,100
230013,4,金爪赤狐王·6转,150,5,345,4608,78064545,0,53911,0,0,240,130,,3,100
230014,4,玉面素狐王·7转,150,5,367,4628,99477357,0,60291,0,0,230,130,,3,100
230015,4,雷炎蜘蛛·8转,150,5,347,4610,138392000,0,66672,0,0,225,100,,3,100
230016,4,炼狱巨魔·9转,150,10,348,4611,173000000,0,73051,0,0,250,120,,2,100
230017,4,雪域魔王·10转,150,10,355,4691,227896000,0,79432,0,0,245,120,,2,100
230018,4,禁地魔王·11转,150,10,346,4609,252504000,0,85812,0,0,240,95,,3,100
